name,price,rating,distance,category.plural,category.name
Bar Statystyk,,,688,Restaurants,Restaurant
"Lokal Elena – Wesele, Catering Toruń",,,16,Polish Restaurants,Polish
"Lokal Elena – Wesele, Catering Toruń",,,16,Food and Beverage Retail,Food & Beverage
Elena. Restauracja,,,94,Polish Restaurants,Polish
Cichowicz Maria. Bufet,2.0,,567,Bars,Bar
Rustico Kebab,,,789,Kebab Restaurants,Kebab
Planeta Kebab,2.0,,840,Bars,Bar
Planeta Kebab,2.0,,840,Fast Food Restaurants,Fast Food
Planeta Kebab,2.0,,840,Turkish Restaurants,Turkish
Kawiarnia Staś Kwiatkowska Alicja,1.0,,906,Fast Food Restaurants,Fast Food
Forte Prim Sp. z o.o. Sp.k,,,941,Hotels,Hotel
Ajsu Kebab,,,982,Kebab Restaurants,Kebab
Pcic Poland Sp. z o.o.,,,540,Business and Strategy Consulting Offices,Business and Strategy Consulting Office
Pcic Poland Sp. z o.o.,,,540,Restaurants,Restaurant
DDG Restauracje Grotkowscy Danuta Grotkowskaplacówka Opiekuncza Danuta Grotkowska,,,793,Restaurants,Restaurant
BIM Oriental Fast Food,1.0,,125,Chinese Restaurants,Chinese
"Hotel i Karczma ""Spichrz""",,,162,Hotels,Hotel
Verona II S c Euro Car Bogusław Bojdo Aneta Bojdo,,,200,Hotels,Hotel
Wild Bean Cafe,1.0,,324,Hot Dog Joints,Hot Dogs
Wild Bean Cafe,1.0,,324,Cafés,Café
Przeds Handlowo Usługowe S.C. Airfort Stawicki Janusz Paruszewski Adam,1.0,,338,Fast Food Restaurants,Fast Food
Pokoje Alfa,,,374,Hostels,Hostel
Pokoje Alfa,,,374,Hotels,Hotel
Bar Hotelowy Alfa,1.0,,374,Diners,Diner
G132 Office & Restaurant,,,378,Offices,Office
G132 Office & Restaurant,,,378,Restaurants,Restaurant
Ciechanowski Marian. Punkt małej gastronomii,2.0,,38,Bars,Bar
Byczy Burger,1.0,,201,Burger Joints,Burgers
Byczy Burger,1.0,,201,Fast Food Restaurants,Fast Food
Baalbek,1.0,,202,Fast Food Restaurants,Fast Food
Baalbek,1.0,,202,Middle Eastern Restaurants,Middle Eastern
North Fish,3.0,,216,Bars,Bar
North Fish,3.0,,216,Seafood Restaurants,Seafood
Bangkok Wok,2.0,,261,Thai Restaurants,Thai
Dołasiński Zbigniew Kasztelan Bar,1.0,,267,Fast Food Restaurants,Fast Food
"Baalbek sp.j. Cieślewicz A., Poddany J.",2.0,,303,Bars,Bar
Pizzeria Pe-Pe Marek Mech,2.0,,111,Tea Rooms,Tea Room
Pizzeria Pe-Pe Marek Mech,2.0,,111,Pizzerias,Pizza
Pizzeria Promyk,1.0,,122,Pizzerias,Pizza
Jankowska Małgorzata pod Koszem Bar,1.0,,212,Fast Food Restaurants,Fast Food
Simple Plan Ewelina Kosińska,,,267,Hotels,Hotel
Warpol,1.0,,334,Delis,Deli
Pizza Sfera,1.0,,351,Pizzerias,Pizza
Pizzeria Laguna,1.0,,370,Pizzerias,Pizza
W obłokach cafe,1.0,,293,Coffee Shops,Coffee Shop
W obłokach cafe,1.0,,293,Tea Rooms,Tea Room
W obłokach cafe,1.0,,293,Restaurants,Restaurant
Rubens & Monet,,,774,Restaurants,Restaurant
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,954,Cafés,Café
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,954,Coffee Shops,Coffee Shop
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,954,Fast Food Restaurants,Fast Food
"Rubbens. Hotel, Restauracja",,,13991,Hotels,Hotel
Usługi Kelnerskie Dominika Urbanik,,,947,Bars,Bar
Usługi Kelnerskie Dominika Urbanik,,,947,Fast Food Restaurants,Fast Food
Belfood Arkadiusz Szmytkowski,,,138,Polish Restaurants,Polish
Zahir Kebab,2.0,,304,Turkish Restaurants,Turkish
Hotele Solaris Sp. z o.o.,,,315,Hotels,Hotel
Mała Gastronomia Rożen Sós Piotr,1.0,,378,Fast Food Restaurants,Fast Food
Kashmir,2.0,,393,Pizzerias,Pizza
Kashmir,2.0,,393,Italian Restaurants,Italian
Max. Pub,1.0,,481,Pubs,Pub
Kebab,,,540,Kebab Restaurants,Kebab
Thienlong,1.0,,580,Chinese Restaurants,Chinese
"Rubbens. Hotel, Restauracja",,,14936,Hotels,Hotel
Sandżak Sp. z o.o.,,,56,Restaurants,Restaurant
Montenegro,1.0,,61,Pizzerias,Pizza
"Bapol s.c. Przedsiębiorstwo handlowo - gastronomiczne. Męcner J., Fedorowicz B.",2.0,,94,Bars,Bar
Pizza Hut,1.0,,268,Pizzerias,Pizza
Fenix. Firma handlowo - gastronomiczna,2.0,,356,Bars,Bar
Tapas,1.0,,429,Bars,Bar
Tapas,1.0,,429,Pizzerias,Pizza
Tapas,1.0,,429,Burrito Restaurants,Burritos
Firma Tapas Odolecka Jolanta,,,429,Restaurants,Restaurant
Cube Cafe. Kawiarnia Multiconcept. Sp. Z O.o.,1.0,,434,Cafés,Café
Cube Cafe. Kawiarnia Multiconcept. Sp. Z O.o.,1.0,,434,Coffee Shops,Coffee Shop
Cube Cafe. Kawiarnia Multiconcept. Sp. Z O.o.,1.0,,434,Fast Food Restaurants,Fast Food
Subway,1.0,,441,Sandwich Spots,Sandwich Spot
Subway,1.0,,441,Fast Food Restaurants,Fast Food
Wild Bean Cafe,1.0,,277,Hot Dog Joints,Hot Dogs
Wild Bean Cafe,1.0,,277,Cafés,Café
Ajsu Kebab,,,293,Kebab Restaurants,Kebab
Pizzeria Don Corleone,1.0,,324,Pizzerias,Pizza
Skrzynka,,,396,Restaurants,Restaurant
Dobry Adres Kuchnia i Pub,1.0,,431,Coffee Shops,Coffee Shop
Dobry Adres Kuchnia i Pub,1.0,,431,Restaurants,Restaurant
Mała Gastronomia Cegielski Jerzy,1.0,,433,Fast Food Restaurants,Fast Food
Caffe Bar. Drink-bar,2.0,,466,Bars,Bar
Caffe Bar. Drink-bar,2.0,,466,Coffee Shops,Coffee Shop
Caffe Bar. Drink-bar,2.0,,466,Restaurants,Restaurant
Pizzeria Yarpen,1.0,,496,Bars,Bar
Pizzeria Yarpen,1.0,,496,Pizzerias,Pizza
North Fish,3.0,,41,Seafood Restaurants,Seafood
Smaki Azji,2.0,,74,Asian Restaurants,Asian
burgeroWnia,1.0,,90,Burger Joints,Burgers
Kosmos Hotel Torun,,,99,Hotels,Hotel
Arianos Döner Kebab,,,159,Doner Restaurants,Doner
Misada,,,161,Restaurants,Restaurant
Adaś. Bar,,,24,Bars,Bar
Paluch stołówka,1.0,,130,Diners,Diner
Bar ZIEMniaczek,,,137,Bars,Bar
Bar ZIEMniaczek,,,137,Buffets,Buffet
Bar ZIEMniaczek,,,137,Cafés,Café
Hotel Uniwersytecki,,,230,Hotels,Hotel
Murat Kebap,,,95,Halal Restaurants,Halal
Soczek raz dwa,2.0,,107,Bars,Bar
Soczek raz dwa,2.0,,107,Restaurants,Restaurant
El Ninio,2.0,,167,Bars,Bar
Jagoda,,,182,Polish Restaurants,Polish
Chwast Prast Vegetarian Bistro,2.0,,195,Vegan and Vegetarian Restaurants,Vegan and Vegetarian Restaurant
Mała gastronomia Bar U Dziadka,,,216,Restaurants,Restaurant
Lawenda,,,348,Restaurants,Restaurant
Kęs Dobry,1.0,,413,Burger Joints,Burgers
Kęs Dobry,1.0,,413,Fast Food Restaurants,Fast Food
"Restauracja ""PIĄTA KLEPKA"" Agnieszka Borkowska",,,425,Restaurants,Restaurant
Dynasińska Maria Shangri La,,,639,Restaurants,Restaurant
Rafa. Pizzeria,1.0,,842,Pizzerias,Pizza
Firma Usł Gastronom Wiktor S.C. Modzelewska Alicja Modzelewska Kinga,,,31,Coffee Shops,Coffee Shop
Firma Usł Gastronom Wiktor S.C. Modzelewska Alicja Modzelewska Kinga,,,31,Fast Food Restaurants,Fast Food
"""Wiki"" Pizzeria Beata Chmurzyńska",,,42,Pizzerias,Pizza
Kola Sklep Mięsno-Spożywczy. Kolasiński Tomasz Toruń,,,49,Restaurants,Restaurant
Kola Sklep Mięsno-Spożywczy. Kolasiński Tomasz Toruń,,,49,Meat and Seafood Stores,Meat and Seafood Store
Marco. Pizzeria,,,171,Pizzerias,Pizza
Firma Handlowo-Gastronomiczna. Grzebińska Teodozja Toruń,,,222,Fast Food Restaurants,Fast Food
Od Nowa MZK,,,25,Arts and Entertainment,Arts & Entertainment
Od Nowa MZK,,,25,Bars,Bar
Hotel Asystencki nr 2,,,98,Hotels,Hotel
Bar Małej Gastronomi Baszyński Piotr,,,245,Restaurants,Restaurant
Mała gastronomia Bar U Dziadka,,,381,Restaurants,Restaurant
Chiński Kubek,1.0,,394,Chinese Restaurants,Chinese
Cybermachina Przemysław Benedykciński,1.0,,191,Fast Food Restaurants,Fast Food
Pora Obiadowa,1.0,,229,Diners,Diner
Krągłe Placki,1.0,,319,Pizzerias,Pizza
Pub Na Pętli,2.0,,340,Bars,Bar
"Agnieszka Płachta Blue Cactus, Blue Home",,,507,Restaurants,Restaurant
Chilli. Maćczak M.,2.0,,517,Bars,Bar
Siwy Dym,,,685,Polish Restaurants,Polish
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,767,Cafés,Café
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,767,Coffee Shops,Coffee Shop
Prim S.C. Kulpa Wiktor Kulpa Elżbieta,1.0,,767,Fast Food Restaurants,Fast Food
Gruba Ryba,3.0,,796,Seafood Restaurants,Seafood
Thienlong,1.0,,796,Chinese Restaurants,Chinese
Kinga Łuczak Usługi Hotelowe,,,42,Hotels,Hotel
Klif. Bar,2.0,,105,Bars,Bar
Klif. Bar,2.0,,105,Fast Food Restaurants,Fast Food
